tempo_id,date,dia,mes,trimestre,ano
20250411,2025-04-11,11,4,2025Q2,2025
20250410,2025-04-10,10,4,2025Q2,2025
20250409,2025-04-09,9,4,2025Q2,2025
20250408,2025-04-08,8,4,2025Q2,2025
20250407,2025-04-07,7,4,2025Q2,2025
20250404,2025-04-04,4,4,2025Q2,2025
20250403,2025-04-03,3,4,2025Q2,2025
20250402,2025-04-02,2,4,2025Q2,2025
20250401,2025-04-01,1,4,2025Q2,2025
20250331,2025-03-31,31,3,2025Q1,2025
20250328,2025-03-28,28,3,2025Q1,2025
20250327,2025-03-27,27,3,2025Q1,2025
20250326,2025-03-26,26,3,2025Q1,2025
20250325,2025-03-25,25,3,2025Q1,2025
20250324,2025-03-24,24,3,2025Q1,2025
20250321,2025-03-21,21,3,2025Q1,2025
20250320,2025-03-20,20,3,2025Q1,2025
20250319,2025-03-19,19,3,2025Q1,2025
20250318,2025-03-18,18,3,2025Q1,2025
20250317,2025-03-17,17,3,2025Q1,2025
20250314,2025-03-14,14,3,2025Q1,2025
20250313,2025-03-13,13,3,2025Q1,2025
20250312,2025-03-12,12,3,2025Q1,2025
20250311,2025-03-11,11,3,2025Q1,2025
20250310,2025-03-10,10,3,2025Q1,2025
20250307,2025-03-07,7,3,2025Q1,2025
20250306,2025-03-06,6,3,2025Q1,2025
20250305,2025-03-05,5,3,2025Q1,2025
20250304,2025-03-04,4,3,2025Q1,2025
20250303,2025-03-03,3,3,2025Q1,2025
20250228,2025-02-28,28,2,2025Q1,2025
20250227,2025-02-27,27,2,2025Q1,2025
20250226,2025-02-26,26,2,2025Q1,2025
20250225,2025-02-25,25,2,2025Q1,2025
20250224,2025-02-24,24,2,2025Q1,2025
20250221,2025-02-21,21,2,2025Q1,2025
20250220,2025-02-20,20,2,2025Q1,2025
20250219,2025-02-19,19,2,2025Q1,2025
20250218,2025-02-18,18,2,2025Q1,2025
20250214,2025-02-14,14,2,2025Q1,2025
20250213,2025-02-13,13,2,2025Q1,2025
20250212,2025-02-12,12,2,2025Q1,2025
20250211,2025-02-11,11,2,2025Q1,2025
20250210,2025-02-10,10,2,2025Q1,2025
20250207,2025-02-07,7,2,2025Q1,2025
20250206,2025-02-06,6,2,2025Q1,2025
20250205,2025-02-05,5,2,2025Q1,2025
20250204,2025-02-04,4,2,2025Q1,2025
20250203,2025-02-03,3,2,2025Q1,2025
20250131,2025-01-31,31,1,2025Q1,2025
20250130,2025-01-30,30,1,2025Q1,2025
20250129,2025-01-29,29,1,2025Q1,2025
20250128,2025-01-28,28,1,2025Q1,2025
20250127,2025-01-27,27,1,2025Q1,2025
20250124,2025-01-24,24,1,2025Q1,2025
20250123,2025-01-23,23,1,2025Q1,2025
20250122,2025-01-22,22,1,2025Q1,2025
20250121,2025-01-21,21,1,2025Q1,2025
20250117,2025-01-17,17,1,2025Q1,2025
20250116,2025-01-16,16,1,2025Q1,2025
20250115,2025-01-15,15,1,2025Q1,2025
20250114,2025-01-14,14,1,2025Q1,2025
20250113,2025-01-13,13,1,2025Q1,2025
20250110,2025-01-10,10,1,2025Q1,2025
20250108,2025-01-08,8,1,2025Q1,2025
20250107,2025-01-07,7,1,2025Q1,2025
20250106,2025-01-06,6,1,2025Q1,2025
20250103,2025-01-03,3,1,2025Q1,2025
20250102,2025-01-02,2,1,2025Q1,2025
20241231,2024-12-31,31,12,2024Q4,2024
20241230,2024-12-30,30,12,2024Q4,2024
20241227,2024-12-27,27,12,2024Q4,2024
20241226,2024-12-26,26,12,2024Q4,2024
20241224,2024-12-24,24,12,2024Q4,2024
20241223,2024-12-23,23,12,2024Q4,2024
20241220,2024-12-20,20,12,2024Q4,2024
20241219,2024-12-19,19,12,2024Q4,2024
20241218,2024-12-18,18,12,2024Q4,2024
20241217,2024-12-17,17,12,2024Q4,2024
20241216,2024-12-16,16,12,2024Q4,2024
20241213,2024-12-13,13,12,2024Q4,2024
20241212,2024-12-12,12,12,2024Q4,2024
20241211,2024-12-11,11,12,2024Q4,2024
20241210,2024-12-10,10,12,2024Q4,2024
20241209,2024-12-09,9,12,2024Q4,2024
20241206,2024-12-06,6,12,2024Q4,2024
20241205,2024-12-05,5,12,2024Q4,2024
20241204,2024-12-04,4,12,2024Q4,2024
20241203,2024-12-03,3,12,2024Q4,2024
20241202,2024-12-02,2,12,2024Q4,2024
