cotacao_id,tempo_id,empresa_id,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,volume
1,20250411,1,229.72,237.58,227.51,235.48,4325895
2,20250410,1,231.0,232.57,222.02,229.55,5656108
3,20250409,1,217.12,236.3,215.1636,235.31,7302808
4,20250408,1,232.56,233.05,217.28,221.03,6849996
5,20250407,1,219.24,232.29,214.5,225.78,7797889
6,20250404,1,238.0,240.16,226.88,227.48,7407096
7,20250403,1,242.71,250.61,242.53,243.49,5309626
8,20250402,1,248.22,252.79,247.23,249.98,4080832
9,20250401,1,248.03,250.62,243.49,250.34,4413139
10,20250331,1,242.74,250.89,242.49,248.66,6794972
11,20250328,1,246.27,247.57,242.07,244.0,3125594
12,20250327,1,249.71,250.3,245.725,246.21,2889328
13,20250326,1,251.25,254.32,249.53,250.34,4452220
14,20250325,1,248.36,250.9,248.2,249.9,3133809
15,20250324,1,247.31,248.82,245.965,248.45,4753331
16,20250321,1,241.69,245.205,238.5,243.87,9580084
17,20250320,1,244.24,246.8,237.224,243.32,7026796
18,20250319,1,248.33,253.66,246.64,252.29,3853598
19,20250318,1,252.51,252.57,245.12,246.95,4172239
20,20250317,1,249.25,254.63,249.0,252.97,3234149
21,20250314,1,242.745,248.9499,241.68,248.35,4045284
22,20250313,1,248.8,249.27,243.04,245.8,3862416
23,20250312,1,250.35,253.1273,245.53,249.63,3849206
24,20250311,1,255.99,256.7,245.86,248.95,5630570
25,20250310,1,261.56,266.45,254.75,256.9,8126234
26,20250307,1,245.95,261.96,245.1823,261.54,6700184
27,20250306,1,249.75,252.1,246.8019,248.69,3254358
28,20250305,1,251.58,252.74,247.0146,251.35,4009813
29,20250304,1,248.75,255.48,248.1,253.21,5342106
30,20250303,1,254.735,255.99,248.245,250.19,2977699
31,20250228,1,250.855,252.8099,246.54,252.44,7988809
32,20250227,1,255.22,257.63,253.05,253.23,3402234
33,20250226,1,258.1,258.325,254.4104,255.84,3460124
34,20250225,1,261.08,263.48,256.77,257.75,6292487
35,20250224,1,261.5,263.845,259.58,261.87,4398107
